BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
GENESIS GROUP HOMES INC,8245 93RD AVE N,Brooklyn Park,MN,1650100.0,Paid in Full,04/04/2020,4612927009,623210,21st Century Bank,21st Century Bank
"CAMDEN MECHANICAL, LLC",1995 FERRY AVE,CAMDEN,NJ,1632000.0,Paid in Full,04/27/2020,3942507206,238220,Century Savings Bank,Century Savings Bank
NIEMAN PRINTING INC,10615 Newkirk St Ste 100,Dallas,TX,1589482.5,Charged Off,02/11/2021,6845198403,323111,First Century Bank National Association,First Century Bank National Association
STANDARD ENTERPRISES INC,3104 Breard St,Monroe,LA,1530350.5,Paid in Full,02/24/2021,3595278504,531311,Century Next Bank,Century Next Bank
"STANDARD ENTERPRISES, INC.",3104 BREARD STREET,MONROE,LA,1530350.5,Paid in Full,04/09/2020,9105277002,532490,Century Next Bank,Century Next Bank
T&S HARDWOODS INC.,293 Harrisburg Rd SW,Milledgeville,GA,1481161.0,Paid in Full,02/24/2021,3596838508,321113,Century Bank & Trust,Century Bank & Trust
"MCCRAE/GORDON - A JOINT VENTURE, LLC",1123 ADMIRAL PEARY WAY,PHILADELPHIA,PA,1432200.0,Paid in Full,04/27/2020,3835517203,238210,Century Savings Bank,Century Savings Bank
HAMPTON TECHNOLOGIES INC.,1123 Admiral Peary Way,Philadelphia,PA,1409375.0,Paid in Full,02/24/2021,3616038502,238210,Century Savings Bank,Century Savings Bank
KIFFMEYER INC.,1136 114TH LN NW SUITE 100,MINNEAPOLIS,MN,1404900.0,Paid in Full,04/08/2020,8441667006,238990,21st Century Bank,21st Century Bank
AMFABSTEEL INCORPORATED,100 CALLE INDUSTRIAL,BERNALILLO,NM,1375052.5,Paid in Full,04/15/2020,9731157107,332312,Century Bank,Century Bank
R. PALMIERI ELECTRICAL CONTRACTORS INC.,939 Harding Hwy,Buena,NJ,1374768.0,Paid in Full,02/25/2021,4284498508,238210,Century Savings Bank,Century Savings Bank
"MULTICULTURAL EVALUATION & CONSULTATION ASSOCIATES (MECA), L",1350 HILLRISE CIR,LAS CRUCES,NM,1370517.66,Paid in Full,04/09/2020,9245727008,621340,Century Bank,Century Bank
AMERICAN SOCIAL TAMPA  LLC,601 S Harbour Island Blvd,Tampa,FL,1369700.96,Paid in Full,01/28/2021,7839918305,722511,U.S. Century Bank,U.S. Century Bank
CARIBBEAN PARKING SYSTEMS INC,175 SW 7th St,Miami,FL,1360445.0,Paid in Full,03/18/2021,4585228610,531390,U.S. Century Bank,U.S. Century Bank
PEBBLE LABS USA INC.,433 Paseo De Peralta,SANTA FE,NM,1358874.17,Paid in Full,04/28/2020,1491567301,541380,Century Bank,Century Bank
LINCO FAB INC.,12786 60th St NE,Saint Michael,MN,1341600.0,Paid in Full,01/23/2021,4899918303,332312,21st Century Bank,21st Century Bank
"HAMPTON TECHNOLOGIES, INC.",1123 ADMIRAL PEARY WAY QUARTERS K,PHILADELPHIA,PA,1338200.0,Paid in Full,04/27/2020,3873027210,238210,Century Savings Bank,Century Savings Bank
"BURGOS GROUP, LLC","5200 OAKLAND AVE NE, Suite B",ALBUQUERQUE,NM,1297820.0,Paid in Full,04/09/2020,9958987005,541990,Century Bank,Century Bank
"R. PALMIERI ELECTRICAL CONTRACTORS, INC.",939 HARDING HWY,BUENA,NJ,1296800.0,Paid in Full,04/27/2020,3851127204,238210,Century Savings Bank,Century Savings Bank
BURGOS GROUP LLC,5200 Oakland Ave NE Ste B,Albuquerque,NM,1295835.0,Paid in Full,02/13/2021,8525498410,541611,Century Bank,Century Bank
PEBBLE LABS USA INC.,100 Entrada,Los Alamos,NM,1224105.0,Paid in Full,01/22/2021,3507958301,541714,Century Bank,Century Bank
CAPITOL FORD LINCOLN LLC,4490 CERRILLOS RD,SANTA FE,NM,1220823.0,Paid in Full,04/15/2020,9774007108,441110,Century Bank,Century Bank
RAKS BUILDING SUPPLY INC.,108 CARSON DR,LOS LUNAS,NM,1219510.0,Paid in Full,04/09/2020,9941787008,423310,Century Bank,Century Bank
"PRECISION SPEED EQUIPMENT, INC",1400 LAFAYETTE ST,STURGIS,MI,1195700.0,Paid in Full,04/04/2020,4658167001,334512,Century Bank and Trust,Century Bank and Trust
"UNITED GLASS, INC.",8340 89TH AVE N,Brooklyn Park,MN,1188000.0,Paid in Full,04/06/2020,6371817008,238150,21st Century Bank,21st Century Bank
THE ESPANOLA MERCANTILE COMPANY,1302 N RIVERSIDE DR,ESPANOLA,NM,1184211.94,Paid in Full,04/13/2020,5171017103,212321,Century Bank,Century Bank
THE ESPANOLA MERCANTILE COMPANY,1302 N Riverside Dr,Espanola,NM,1184210.0,Paid in Full,02/05/2021,3741658401,212321,Century Bank,Century Bank
"THE LLOYD GROUP, INC.",807 Dorsey Street,GAINESVILLE,GA,1174265.25,Paid in Full,04/07/2020,7586587002,541519,First Century Bank National Association,First Century Bank National Association
"LINCO FAB, INC.",12786   60TH ST NE,SAINT MICHAEL,MN,1152200.0,Paid in Full,04/04/2020,5001237009,332312,21st Century Bank,21st Century Bank
"LOS ALAMOS TECHNICAL ASSOCIATES, INC.",6565 Americas Parkway NE,ALBUQUERQUE,NM,1150085.0,Paid in Full,04/15/2020,8994627103,541611,Century Bank,Century Bank
RED CAP PLUMBING & AIR INC.,6605 N. Nebraska Avenue,TAMPA,FL,1125000.0,Paid in Full,04/06/2020,5846367004,238220,Century Bank of Florida,Century Bank of Florida
"INSURANCE HOUSE HOLDINGS, INC.",807 Dorsey Street,GAINESVILLE,GA,1124972.0,Paid in Full,04/06/2020,6335847009,524126,First Century Bank National Association,First Century Bank National Association
"SUTIN, THAYER & BROWNE APC",6100 UPTOWN BLVD,ALBUQUERQUE,NM,1123786.75,Paid in Full,04/08/2020,7870797003,541199,Century Bank,Century Bank
"TABET ENTERPRISES, INC.",12369 PINE SPRINGS DR,EL PASO,TX,1090420.0,Paid in Full,04/14/2020,7550547108,484230,Century Bank,Century Bank
FIRST EQUITY MORTGAGE BANKERS INC,9300 South Dadeland Blvd Suite 500,MIAMI,FL,1061520.0,Paid in Full,04/11/2020,3242867110,522292,U.S. Century Bank,U.S. Century Bank
THE GEORGIA O'KEEFE MUSEUM,217 Johnson Street,SANTA FE,NM,1056417.5,Paid in Full,04/11/2020,3571917102,712110,Century Bank,Century Bank
THE GEORGIA O'KEEFFE MUSEUM,217 Johnson St,Santa Fe,NM,1056417.0,Paid in Full,02/02/2021,1888238410,712110,Century Bank,Century Bank
UNITED GLASS INC.,8340 89th Ave N,Brooklyn Park,MN,1042000.0,Paid in Full,02/04/2021,2964008408,238150,21st Century Bank,21st Century Bank
A & P AIR CONDITIONING CORPORATION,2322 W 78 ST,HIALEAH,FL,1033999.5,Paid in Full,04/11/2020,3266857101,238220,U.S. Century Bank,U.S. Century Bank
STEVENS UNLIMITED OF SAINT PAUL INC,2201 Princeton Ave,SAINT PAUL,MN,1026150.0,Paid in Full,04/04/2020,5041167006,812112,21st Century Bank,21st Century Bank
STEVENS UNLIMITED OF ST. PAUL INC.,1673 Delaware Ave,Mendota Heights,MN,1026000.0,Paid in Full,02/12/2021,7468068408,812112,21st Century Bank,21st Century Bank
RICON INC,2601 HIGHWAY 82 W,CROSSETT,AR,989167.41,Paid in Full,02/22/2021,2745518506,236210,Century Next Bank,Century Next Bank
"RICON, INC",2601 HWY 82 W,CROSSETT,AR,989167.41,Paid in Full,04/09/2020,9836927000,237990,Century Next Bank,Century Next Bank
PLAYER AND COMPANY,807 Dorsey Street,GAINESVILLE,GA,986750.0,Paid in Full,04/13/2020,5677267105,236210,First Century Bank National Association,First Century Bank National Association
"PRACTICE MANAGEMENT SOLUTIONS, LLC",1105 Hudson Ln,Monroe,LA,982127.07,Paid in Full,01/19/2021,1606418310,541611,Century Next Bank,Century Next Bank
CHESTNUT CAMBRONNE PA,100 WASHINGTON AVE S Ste 1700,MINNEAPOLIS,MN,978500.0,Paid in Full,04/08/2020,8595287002,541110,21st Century Bank,21st Century Bank
"STARBOARD GROUP MANAGEMENT COMPANY, INC.",12540 West Atlantic Blvd,CORAL SPRINGS,FL,972325.0,Exemption 4,04/13/2020,5508707105,722513,U.S. Century Bank,U.S. Century Bank
LAS CLINICAS DEL NORTE INCORPORATED,STATE ROAD 571,EL RITO,NM,970157.0,Paid in Full,03/27/2021,1791388707,622110,Century Bank,Century Bank
LAS CLINICAS DEL NORTE INCORPORATED,ST RD 571 Building 28,EL RITO,NM,970157.0,Paid in Full,04/15/2020,8593857101,622110,Century Bank,Century Bank
"CARPET KING, INC.",1815 WEST RIVER RD N,MINNEAPOLIS,MN,969400.0,Paid in Full,04/05/2020,5406697005,238330,21st Century Bank,21st Century Bank
EAB FABRICATION INC.,64 Cole St,Quincy,MI,967657.0,Paid in Full,02/12/2021,7473968401,332313,Century Bank and Trust,Century Bank and Trust
"E.A.B. FABRICATION, INC.",64 COLE ST,QUINCY,MI,967600.0,Paid in Full,04/06/2020,5980017005,332710,Century Bank and Trust,Century Bank and Trust
EL CASTILLO RETIREMENT RESIDENCE,250 E ALAMEDA ST,SANTA FE,NM,966940.0,Paid in Full,04/29/2020,3134987310,623312,Century Bank,Century Bank
"FREEDOM INSULATION, INC.",23110 SR 54 #428,LUTZ,FL,965000.0,Paid in Full,04/06/2020,6070727001,238990,Century Bank of Florida,Century Bank of Florida
"STARBOARD GROUP OF SOUTHEAST FLORIDA, LLC",12540 West Atlantic Blvd,CORAL SPRINGS,FL,959660.0,Paid in Full,04/13/2020,5434057107,722513,U.S. Century Bank,U.S. Century Bank
STARBOARD GROUP OF RICHMOND SOUTH LLC,12540 west atlantic blvd,CORAL SPRINGS,FL,921767.5,Paid in Full,04/13/2020,5483627108,722513,U.S. Century Bank,U.S. Century Bank
"ADMIRAL-MERCHANTS MOTOR FREIGHT, INC.",215 S 11TH ST,MINNEAPOLIS,MN,908600.0,Paid in Full,04/13/2020,5469987104,484121,21st Century Bank,21st Century Bank
"PROVIDER NETWORK SOLUTIONS, LLC",8323 NW 12 STREET,MIAMI,FL,905340.0,Paid in Full,04/27/2020,4088667202,561990,U.S. Century Bank,U.S. Century Bank
STARBOARD WITH CHEESE LLC,12540 west atlantic blvd,CORAL SPRINGS,FL,897477.5,Paid in Full,04/13/2020,5443367108,722513,U.S. Century Bank,U.S. Century Bank
NATIONAL DANCE INSTITUTE OF NEW MEXICO,1140 ALTO ST,SANTA FE,NM,893607.5,Paid in Full,04/13/2020,5048427102,711120,Century Bank,Century Bank
ALL PHASE CONTRACTING INC,9652 152ND AVE NE,FOREST LAKE,MN,887200.0,Paid in Full,04/09/2020,9368907003,236220,21st Century Bank,21st Century Bank
ADMIRAL-MERCHANTS MOTOR FREIGHT INC.,215 S 11th St,Minneapolis,MN,877800.0,Paid in Full,04/13/2021,2863248803,484121,21st Century Bank,21st Century Bank
JOFFE LUMBER & SUPPLY CO INC,BURNS AVE,VINELAND,NJ,876900.0,Paid in Full,04/04/2020,4873807006,423310,Century Savings Bank,Century Savings Bank
"STARBOARD GROUP OF ALABAMA, LLC",12540 West Atlantic Blvd,CORAL SPRINGS,FL,868910.0,Paid in Full,04/13/2020,5477957106,722513,U.S. Century Bank,U.S. Century Bank
"LAS CUMBRES COMMUNITY SERVICES, INC.",102 North Coronado Ave,ESPANOLA,NM,862922.0,Paid in Full,04/28/2020,1529677306,624120,Century Bank,Century Bank
"TROMBERG LAW GROUP, PLLC",1515 FEDERAL HWY,BOCA RATON,FL,858760.0,Paid in Full,04/27/2020,4966457203,541110,U.S. Century Bank,U.S. Century Bank
SANTA FE PREPATORY SCHOOL,1101 Camino de la Cruz,SANTA FE,NM,855277.0,Paid in Full,04/12/2020,3923737101,611110,Century Bank,Century Bank
"BRADLEY INDUSTRIAL CONSTRUCTION, LLC",PO Box 597,Crossett,AR,854375.0,Paid in Full,04/09/2020,9744197009,236210,Century Next Bank,Century Next Bank
SAFETYNET WORKS INC.,10200 Menaul Blvd NE Ste 125,Albuquerque,NM,852032.5,Paid in Full,01/22/2021,3768968302,812990,Century Bank,Century Bank
SAFETYNET WORKS INC,10200 MENAUL BLVD,ALBUQUERQUE,NM,852032.5,Paid in Full,04/08/2020,8074927009,812990,Century Bank,Century Bank
BRADLEY INDUSTRIAL CONSTRUCTION LLC,740 Highway 82 W,Hamburg,AR,849756.55,Paid in Full,01/21/2021,2990608306,238290,Century Next Bank,Century Next Bank
"INDICA LABS, INC.",8700 Education Pl Bldg B,ALBUQUERQUE,NM,834412.57,Paid in Full,04/11/2020,3629687109,541511,Century Bank,Century Bank
