BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
CRITICAL AIR RESPONSE ENTERPRISES LLC,5345 Wyoming Blvd NE Ste 105,Albuquerque,NM,632272.5,Paid in Full,01/23/2021,4264868308,621910,Century Bank,Century Bank
INDEPENDENT HOSPITALISTS PLLC,42104 N Venture Dr Ste D118,Phoenix,AZ,627350.88,Paid in Full,02/06/2021,4580638409,621498,First Century Bank National Association,First Century Bank National Association
INDEPENDENT HOSPITALISTS PLLC,807 Dorsey Street,GAINESVILLE,GA,627350.87,Paid in Full,04/28/2020,7339777210,622110,First Century Bank National Association,First Century Bank National Association
B & H MECHANICAL INC.,1001 Parkhill Dr,Las Cruces,NM,625000.0,Paid in Full,01/30/2021,9302578309,238220,Century Bank,Century Bank
"DIESEL CAST WELDING, INC.",2190  107TH LN NE,MINNEAPOLIS,MN,623800.0,Paid in Full,04/15/2020,1292217200,332999,21st Century Bank,21st Century Bank
ROADMASTER ENGINEERING INC.,8900 W 40th Ave,Hialeah,FL,617693.12,Paid in Full,02/26/2021,4898868506,236210,U.S. Century Bank,U.S. Century Bank
"LARIVIERE PARKING SYSTEMS, LLC",304 Indian Trace #448,WESTON,FL,617357.0,Exemption 4,04/12/2020,3837067105,812930,U.S. Century Bank,U.S. Century Bank
"IWERKS ENTERTAINMENT, INC.",807 Dorsey Street,GAINESVILLE,GA,614494.82,Paid in Full,04/16/2020,2823217205,512110,First Century Bank National Association,First Century Bank National Association
EXPERPLAY INC.,"12220 Highway 14 N, Suite 1",CEDAR CREST,NM,610005.0,Paid in Full,04/14/2020,6627077103,238990,Century Bank,Century Bank
FABBRI CONCRETE & MASONRY INC.,2035 WEYMOUTH RD,VINELAND,NJ,606500.0,Paid in Full,04/09/2020,1047757107,238110,Century Savings Bank,Century Savings Bank
"JIM TAYLOR CHEVROLET, LLC",139 Grimshaw St,Rayville,LA,603472.0,Paid in Full,04/13/2020,5156057106,441110,Century Next Bank,Century Next Bank
"WEN-SOUTH HOLDINGS, INC.",7315 SW 170th Terrace,PALMETTO BAY,FL,602311.0,Paid in Full,04/11/2020,3309347102,722513,U.S. Century Bank,U.S. Century Bank
"DANIELS, RODRIGUEZ, BERKELEY, DANIELS, & CRUZ PA","4000 PONCE DE LEON BLVD, STE 800",CORAL GABLES,FL,601280.0,Paid in Full,04/11/2020,3427867106,541110,U.S. Century Bank,U.S. Century Bank
CHAVEZ-GRIEVES CONSULTING ENGINEERS INC.,4700 Lincoln Rd NE,Albuquerque,NM,595457.5,Paid in Full,01/27/2021,6801368306,541330,Century Bank,Century Bank
"STREICHER'S, INC.",10911 HIGHWAY 55,MINNEAPOLIS,MN,592100.0,Paid in Full,04/06/2020,6339617007,423990,21st Century Bank,21st Century Bank
"ADVOCATE PROGRAM, INC.","1150 NW 72 Avenue, Suite 200",MIAMI,FL,591786.77,Paid in Full,04/27/2020,3507227200,813319,U.S. Century Bank,U.S. Century Bank
"PRESIDENTE SUPERMARKET NO. 38, INC.",3131 Forest Hill Blvd.,WEST PALM BEACH,FL,591064.49,Paid in Full,04/15/2020,9995537107,445110,U.S. Century Bank,U.S. Century Bank
PARMA TUBE CORPORATION,1008 PROGRESS ST,STURGIS,MI,588700.0,Paid in Full,04/04/2020,4631687004,332999,Century Bank and Trust,Century Bank and Trust
CATHOLIC CHARITIES,2010 BRIDGE BLVD,ALBUQUERQUE,NM,585680.0,Paid in Full,04/13/2020,5385827105,813219,Century Bank,Century Bank
"HILLSIDE VILLAGE, LLC",33600 W 85th Street,De soto,KS,583882.0,Paid in Full,04/09/2020,9596077005,623312,TriCentury Bank,TriCentury Bank
BOYS MECHANICAL,490 VILLAUME AVE,SOUTH SAINT PAUL,MN,583800.0,Paid in Full,04/06/2020,6404237008,238220,21st Century Bank,21st Century Bank
"ALLIANCE FOODS, INC",605 W CHICAGO RD,COLDWATER,MI,581700.0,Paid in Full,04/08/2020,8104567010,445110,Century Bank and Trust,Century Bank and Trust
ALLIANCE FOODS ESOP TRUST,605 W Chicago Rd,Coldwater,MI,581700.0,Paid in Full,02/04/2021,3034128407,425120,Century Bank and Trust,Century Bank and Trust
ROADMASTER ENGINEERING INC,14450 NW 102 AVE,HIALEAH,FL,580000.0,Paid in Full,04/13/2020,5086647110,541330,U.S. Century Bank,U.S. Century Bank
G&W DISPLAY FIXTURES INC,404 Union St,Bronson,MI,579435.0,Paid in Full,02/12/2021,7485708401,337215,Century Bank and Trust,Century Bank and Trust
"GANDW DISPLAY FIXTURES, INC.",404 Union St.,BRONSON,MI,579400.0,Paid in Full,04/03/2020,4431467003,332313,Century Bank and Trust,Century Bank and Trust
DELPHI RESTAURANT SERVICES LLC,500 S GUADALUPE ST,SANTA FE,NM,576857.0,Paid in Full,04/07/2020,6760937002,722511,Century Bank,Century Bank
721 LAS OLAS BLVD. INC.,721 E Las Olas Blvd,Fort Lauderdale,FL,572816.61,Paid in Full,01/28/2021,7635258306,722511,U.S. Century Bank,U.S. Century Bank
"SOUTHERN INDUSTRIAL CONTRACTORS, L.L.C.",158 Industrial Loop,Rayville,LA,561207.88,Paid in Full,01/16/2021,1106788309,236210,Century Next Bank,Century Next Bank
"NPARALLEL, LLC",13120 COUNTY ROAD 6,Plymouth,MN,560400.0,Paid in Full,04/03/2020,4511267002,541420,21st Century Bank,21st Century Bank
THOMAS C YOUNGBLOOD FARMING LLC,4700 LINCOLN RD STE 102,ALBUQUERQUE,NM,559710.0,Paid in Full,04/11/2020,3277187107,541330,Century Bank,Century Bank
HEI INC,3800 VASSAR DR,ALBUQUERQUE,NM,559450.0,Paid in Full,04/09/2020,9971347006,236210,Century Bank,Century Bank
"B & H MECHANICAL, INC.",1001 Parkhill Dr,LAS CRUCES,NM,557375.87,Paid in Full,04/10/2020,2417737104,333613,Century Bank,Century Bank
ACCF SERVICE LLS,2300 Marsh Point Rd,Neptune Beach,FL,555272.0,Paid in Full,01/23/2021,4291108309,541611,Century Next Bank,Century Next Bank
JOHN MILLEDGE ACADEMY,197 Log Cabin Rd NE,Milledgeville,GA,553702.5,Paid in Full,04/10/2020,1289407110,611110,Century Bank & Trust,Century Bank & Trust
KNOWLES ON SITE REPAIR INC,7481 N Palafox St,Pensacola,FL,553252.5,Paid in Full,01/28/2021,7582908306,811111,Century Bank,Century Bank
CHALLENGE MACHINE AND MANUFACTURING INCORPORATED,1651  99TH LN,MINNEAPOLIS,MN,547000.0,Paid in Full,04/08/2020,8708927001,332710,21st Century Bank,21st Century Bank
SHECHTER & EVERETT LLP,4531 Ponce de Leon Blvd Ste 200,Coral Gables,FL,543824.78,Paid in Full,02/13/2021,8158818407,541211,U.S. Century Bank,U.S. Century Bank
"RELIOS, INC.",6815 ACADEMY PARKWAY WEST,ALBUQUERQUE,NM,541240.0,Paid in Full,04/14/2020,7499407105,339910,Century Bank,Century Bank
ADCOCK-ADCOCK PROPERTY & CASUALTY AGENCY INC.,315 W. Fletcher Avenue,TAMPA,FL,539088.35,Paid in Full,04/13/2020,4607917110,524210,Century Bank of Florida,Century Bank of Florida
"NUR-UL-ISLAM ACADEMY, INC.",10600 sw 59TH ST,DAVIE,FL,533062.37,Paid in Full,05/01/2020,8612137300,611110,U.S. Century Bank,U.S. Century Bank
LASEN INC,300 N. Telshor #400,LAS CRUCES,NM,532972.0,Paid in Full,04/09/2020,9314657005,541690,Century Bank,Century Bank
LASEN INC,300 N Telshor Blvd Ste 400,Las Cruces,NM,532970.0,Paid in Full,01/22/2021,3832918304,213112,Century Bank,Century Bank
"PRESIDENTE SUPERMARKET NO. 37, INC.","1200 West 45 Street, Suite 300",WEST PALM BEACH,FL,529136.42,Paid in Full,04/15/2020,9896787106,445110,U.S. Century Bank,U.S. Century Bank
ACHIEVE SERVICES INC.,1201 89th Ave NE Ste 105,Blaine,MN,528900.0,Paid in Full,01/26/2021,6339448305,624310,21st Century Bank,21st Century Bank
ADVOCATE PROGRAM INC.,1150 NW 72nd Ave Ste 200,Miami,FL,525385.32,Paid in Full,01/28/2021,7941858307,813410,U.S. Century Bank,U.S. Century Bank
"DEALER PROFIT SYSTEMS, INC.",7906 Hopi Place,TAMPA,FL,525000.0,Paid in Full,04/06/2020,6228427006,423120,Century Bank of Florida,Century Bank of Florida
GALE'S AUTO BODY,10600 CENTRAL AVE,MINNEAPOLIS,MN,521300.0,Paid in Full,04/06/2020,6387847000,811121,21st Century Bank,21st Century Bank
"SUPREME MAINTENANCE, INC.",5015 PROSPECT AVE NE,ALBUQUERQUE,NM,520730.0,Paid in Full,04/11/2020,2769427109,561720,Century Bank,Century Bank
PIEDMONT MINING LLC,815 N Main St,Wrens,GA,520692.0,Paid in Full,01/23/2021,4418318300,212324,Century Bank & Trust,Century Bank & Trust
MATRIX ADVOCARE NETWORK INC,6900 Shady Oak Rd Ste 126,Eden Prairie,MN,519500.0,Paid in Full,05/07/2021,7218758901,621610,21st Century Bank,21st Century Bank
MATRIX ADVOCARE NETWORK INC,6900 Shady Oak Rd Ste 216,Eden Prairie,MN,519500.0,Paid in Full,01/20/2021,2347088306,621610,21st Century Bank,21st Century Bank
"SOUTHERN INDUSTRIAL CONTRACTORS, L.L.C.",20 EMERALD LANE,RAYVILLE,LA,519479.96,Paid in Full,04/09/2020,9127457009,236210,Century Next Bank,Century Next Bank
"DALQUIST MACHINE, INC",13758 JOHNSON ST NE,ANDOVER,MN,518100.0,Paid in Full,04/10/2020,2154567109,332710,21st Century Bank,21st Century Bank
SPICES USA INC,711 W 16 St,HIALEAH,FL,516200.0,Paid in Full,04/13/2020,5698057100,311942,U.S. Century Bank,U.S. Century Bank
BRANCHES INC,11500 NW 12 Avenue,MIAMI,FL,516199.0,Paid in Full,04/13/2020,5024117109,813219,U.S. Century Bank,U.S. Century Bank
CHARLES MARANDINO LLC,233 Main Ave,Milmay,NJ,514586.0,Paid in Full,02/05/2021,3722168401,238990,Century Savings Bank,Century Savings Bank
GREEN SUMMIT LANDSCAPE MANAGEMENT LLC,8019 EDITH BLVD,ALBUQUERQUE,NM,513577.52,Paid in Full,04/15/2020,8911427108,561730,Century Bank,Century Bank
AGE OF EMPIRE INC,11475 SW 43 Terrace,MIAMI,FL,512840.57,Paid in Full,04/13/2020,5491237109,236220,U.S. Century Bank,U.S. Century Bank
TOMASITA'S ABQ LLC,4949 PAN AMERICAN FREEWAY NE,ALBUQUERQUE,NM,512526.0,Paid in Full,02/14/2021,9090848402,722511,Century Bank,Century Bank
"ASPEN MEDICAL GROUP, LLC",3450 ZAFARANO DR,SANTA FE,NM,511000.0,Paid in Full,04/14/2020,6930347104,621111,Century Bank,Century Bank
GEORGE COUNTY HOSPITAL,859 Winter St,LUCEDALE,MS,510600.0,Paid in Full,04/10/2020,2587137104,622110,Century Bank,Century Bank
SSE AND ASSOCIATES INC,569 Canal St,NEW SMYRNA BEACH,FL,510082.07,Paid in Full,04/27/2020,4570727205,238110,Century Bank,Century Bank
MORLIN HOSPITALITY MANAGEMENT,5414 NW 72nd Ave,Miami,FL,508362.1,Paid in Full,02/06/2021,4293888400,541611,U.S. Century Bank,U.S. Century Bank
SURFSIDE FOODS LLC,2838 High St,Port Norris,NJ,507751.0,Paid in Full,02/23/2021,3264728503,311710,Century Savings Bank,Century Savings Bank
"TROPICAL SUPERMARKET NO. 16, INC.",18350 NW 7TH AVE,MIAMI,FL,505204.05,Paid in Full,04/15/2020,1001617203,445110,U.S. Century Bank,U.S. Century Bank
PREFERRED TOOL LLC,15195 FREELAND AVE N,HUGO,MN,502300.0,Paid in Full,04/08/2020,8172377003,332999,21st Century Bank,21st Century Bank
CONNECTION CHEMICAL LP,807 Dorsey Street,GAINESVILLE,GA,499745.0,Paid in Full,04/07/2020,7154047000,424690,First Century Bank National Association,First Century Bank National Association
"FAIRFIELD PALLET COMPANY, INC.",PO BOX 361,FAIRTON,NJ,496300.0,Paid in Full,04/06/2020,6260797001,321920,Century Savings Bank,Century Savings Bank
"POST-TENSIONING REINFORCING SERVICES, INC.",8612 PASEO ALAMEDA STE. D,ALBUQUERQUE,NM,495159.0,Paid in Full,04/11/2020,3157157104,238120,Century Bank,Century Bank
"INTERSTATE MANUFACTURING, INC",68935 Union St,White Pigeon,MI,490000.0,Paid in Full,01/16/2021,1195188307,336212,Century Bank and Trust,Century Bank and Trust
"INTERSTATE MANUFACTURING, INC",68935 UNION ST,WHITE PIGEON,MI,490000.0,Paid in Full,04/07/2020,7112077000,336214,Century Bank and Trust,Century Bank and Trust
GALE'S AUTO BODY,10600 Central Ave NE,Blaine,MN,489900.0,Paid in Full,04/03/2021,6334298701,811121,21st Century Bank,21st Century Bank
BOYS MECHANICAL,490 Villaume Ave Ste 300,South St Paul,MN,484300.0,Paid in Full,01/21/2021,2534678301,238220,21st Century Bank,21st Century Bank
DAISY LAY LLC,2571 Cristos Rd,Santa Fe,NM,482520.5,Paid in Full,02/07/2021,5024488405,722511,Century Bank,Century Bank
AURORA PLUMBING CORPORATION,301 E 10th Ave,HIALEAH,FL,481365.0,Paid in Full,04/13/2020,5206967107,332913,U.S. Century Bank,U.S. Century Bank
HUNTER SECURITY INC,9330 Tuscaloosa Dr,PERDIDO BEACH,AL,478905.0,Paid in Full,04/27/2020,4036407203,561621,Century Bank,Century Bank
"BENSON-ORTH ASSOCIATES, INC",1000 BOONE AVE N Ste 100,MINNEAPOLIS,MN,477900.0,Paid in Full,04/06/2020,6188687008,236220,21st Century Bank,21st Century Bank
ARCH LANGUAGE NETWORK INC.,125 Little Canada Rd W Ste 200,Little Canada,MN,475800.0,Paid in Full,01/20/2021,2180478302,611630,21st Century Bank,21st Century Bank
PHILADELPHIA CHILDREN'S ALLIANCE,300 E Hunting Park Ave,Philadelphia,PA,475523.01,Paid in Full,01/22/2021,3908478300,624110,First Century Bank National Association,First Century Bank National Association
CUMBERLAND CAPE ATLANTIC YOUNG MEN'S CHRISTIAN ASSOCIATION O,1159 E Landis Ave,Vineland,NJ,475361.0,Paid in Full,02/19/2021,1607878506,624190,Century Savings Bank,Century Savings Bank
OPTOMETRIC EYE CARE CENTERS P.A.,1202 EMOORE LAKE DR,MINNEAPOLIS,MN,472300.0,Paid in Full,04/11/2020,2978627106,621320,21st Century Bank,21st Century Bank
OPTOMETRIC EYE CARE CENTERS P.A.,1202 EMOORE LAKE DR,MINNEAPOLIS,MN,472300.0,Paid in Full,02/05/2021,3424988402,621320,21st Century Bank,21st Century Bank
"CHARLES MARANDINO, LLC",233 MAIN AVE,MILMAY,NJ,470100.0,Paid in Full,05/12/2020,5312237409,238110,Century Savings Bank,Century Savings Bank
LED ARE US LLC,9840 NW 77 Ave,MIAMI LAKES,FL,469432.75,Paid in Full,04/11/2020,3412977101,335122,U.S. Century Bank,U.S. Century Bank
"CHIMPOULIS & HUNTER, P.A.",150 SOUTH PINE ISLAND ROAD,PLANTATION,FL,465827.0,Paid in Full,04/27/2020,4484077204,541110,U.S. Century Bank,U.S. Century Bank
FRALINGER ENGINEERING P.A.,629 Shiloh Pike,Bridgeton,NJ,465334.0,Paid in Full,01/16/2021,1327508310,541330,Century Savings Bank,Century Savings Bank
FRALINGER ENGINEERING P.A.,629 SHILOH PIKE,BRIDGETON,NJ,465300.0,Paid in Full,04/04/2020,4921097002,541330,Century Savings Bank,Century Savings Bank
"BOGUE MACHINE COMPANY, INC.",7401 Edith Blvd NE,ALBUQUERQUE,NM,465158.92,Paid in Full,04/29/2020,2848937303,332710,Century Bank,Century Bank
LA SIERRA CONCESSIONS LLC,6007 Garfield St,Hollywood,FL,464895.79,Paid in Full,03/25/2021,8548488606,722511,U.S. Century Bank,U.S. Century Bank
"OIL RECOVERY COMPANY, INC.",1101 S CONCEPTION ST,MOBILE,AL,463822.0,Paid in Full,04/08/2020,8217697010,211120,Century Bank,Century Bank
ST JOHN NEUMANN CATHOLIC SCHOOL,12115 SW 107th Avenue,MIAMI,FL,462895.0,Paid in Full,04/13/2020,4914947108,611110,U.S. Century Bank,U.S. Century Bank
PRIVATE LABEL SELECT LTD CO,1320 PASEO DEL PUEBLO SUR,TAOS,NM,462810.0,Paid in Full,04/10/2020,1485237104,339999,Century Bank,Century Bank
KIDNEY SPA LLC,219 NW 12 Avenue C4,MIAMI,FL,461135.0,Paid in Full,04/13/2020,4658907107,621492,U.S. Century Bank,U.S. Century Bank
"TROPICAL SUPERMARKET NO. 12, INC.",1060 W 29TH ST,HIALEAH,FL,459052.6,Paid in Full,04/15/2020,9927777107,445110,U.S. Century Bank,U.S. Century Bank
"INNOVATIVE BUILDING & DESIGN, LLC",1543 92ND LN NE,Blaine,MN,457600.0,Paid in Full,04/07/2020,6827957003,541990,21st Century Bank,21st Century Bank
"ADVANTAGE COMMUNICATION SYSTEM, INC.",4219 MONTGOMERY BLVD NE,ALBUQUERQUE,NM,454155.0,Paid in Full,04/11/2020,2709117108,621610,Century Bank,Century Bank
NUR UL ISLAM ACADEMY INC,10600 SW 59th St,Davie,FL,453317.5,Paid in Full,02/09/2021,6005338405,611110,U.S. Century Bank,U.S. Century Bank
NUCCIO HEATING & AIR CONDITIONING INC.,6306 W Linebaugh Ave,Tampa,FL,451605.0,Paid in Full,03/01/2021,5792158501,238220,Century Bank of Florida,Century Bank of Florida
"MJM MANUFACTURING, INC",5205 NW 161 St,MIAMI LAKES,FL,450850.0,Paid in Full,04/11/2020,3248717101,332322,U.S. Century Bank,U.S. Century Bank
"ENGLISH SEWAGE DISPOSAL, INC.",1082 WEST PARSONAGE RD,BRIDGETON,NJ,450700.0,Paid in Full,04/05/2020,5089207004,562991,Century Savings Bank,Century Savings Bank
"PLANT MAINTENANCE & CONSTRUCTION, INC.",171 ESTELL RD,CROSSETT,AR,448980.84,Paid in Full,04/09/2020,9847997005,811211,Century Next Bank,Century Next Bank
"PRESIDENTE SUPERMARKET NO. 39, INC.",4753 CONGRESS AVE,BOYNTON BEACH,FL,448732.0,Paid in Full,04/27/2020,6047577202,445110,U.S. Century Bank,U.S. Century Bank
KIMERA LABS INC.,2831 Corporate Way,Miramar,FL,448710.0,Paid in Full,01/27/2021,6682328301,541714,U.S. Century Bank,U.S. Century Bank
"CAPITAL CONCRETE, INC.",228 GARDEN RD,ELMER,NJ,448000.0,Paid in Full,04/11/2020,3090397100,238140,Century Savings Bank,Century Savings Bank
PARMA TUBE CORPORATION,1008 Progress St,Sturgis,MI,446900.0,Paid in Full,01/16/2021,1133028310,332999,Century Bank and Trust,Century Bank and Trust
THOMAS LINDSTROM & CO. INC.,810 S Snowden Ave,Cinnaminson,NJ,445190.0,Paid in Full,03/25/2021,8775748601,238120,Century Savings Bank,Century Savings Bank
ALMAR INDUSTRIES INC.,7100 W 20TH AVE,HIALEAH,FL,445000.0,Paid in Full,04/15/2020,1637807207,561720,U.S. Century Bank,U.S. Century Bank
ACCF SERVICES LLC,2300 MARSH POINT RD 200,NEPTUNE BEACH,FL,444257.52,Paid in Full,04/29/2020,2957647309,621111,Century Next Bank,Century Next Bank
DFAB LLC,7840 5th Ave S,Bloomington,MN,443100.0,Paid in Full,01/20/2021,1957368310,311812,21st Century Bank,21st Century Bank
AK MATERIAL HANDLING SYSTEMS INC.,8630 Monticello Ln N,Maple Grove,MN,442300.0,Paid in Full,02/10/2021,6383118406,423390,21st Century Bank,21st Century Bank
"KECH, INC.",807 Dorsey Street,GAINESVILLE,GA,440901.55,Paid in Full,04/27/2020,6212467209,541519,First Century Bank National Association,First Century Bank National Association
FRIDLEY CHILDREN'S AND TEENAGERS' MEDICAL CENTER PA,500 NE OSBORNE RD Ste 215,MINNEAPOLIS,MN,440700.0,Paid in Full,04/07/2020,7619717001,621111,21st Century Bank,21st Century Bank
NARDELLI BROS.,54 Main St,Cedarville,NJ,439792.0,Paid in Full,05/11/2021,8453478905,111219,Century Savings Bank,Century Savings Bank
NARDELLI BROS.,54 N MAIN ST,CEDARVILLE,NJ,439700.0,Paid in Full,04/06/2020,6341937008,111219,Century Savings Bank,Century Savings Bank
"EMA HOLDINGS, LLC",1151 MCKINLEY ST,ANOKA,MN,438500.0,Paid in Full,04/07/2020,7595087007,332710,21st Century Bank,21st Century Bank
"ROGERS DENTAL CENTER, P.A.",21410 136TH AVE NORTH STE 109,ROGERS,MN,437500.0,Paid in Full,04/04/2020,4989757006,621210,21st Century Bank,21st Century Bank
RAMPIT USA INC.,338 Bidwell Rd,Coldwater,MI,436715.0,Paid in Full,02/24/2021,3591968502,339113,Century Bank and Trust,Century Bank and Trust
"TJ RAMPIT USA, INC.",338 BIDWELL RD,COLDWATER,MI,436700.0,Paid in Full,04/07/2020,6535987010,332323,Century Bank and Trust,Century Bank and Trust
T. LINDSTROM AND CO.,810 S Snowden Ave,Cinnaminson,NJ,435445.0,Paid in Full,03/25/2021,9020298604,238120,Century Savings Bank,Century Savings Bank
BOGUE MACHINE CO INC,7401 Edith Blvd NE,Albuquerque,NM,435272.5,Paid in Full,01/22/2021,4031988308,332710,Century Bank,Century Bank
KIMERA LABS INC,2831 CORPORATE WAY,MIRAMAR,FL,434765.35,Paid in Full,04/15/2020,2172957210,325412,U.S. Century Bank,U.S. Century Bank
DG & E LOGGING INC,809 Hagler Rd,Jonesboro,LA,434553.3,Paid in Full,01/17/2021,1412838309,113310,Century Next Bank,Century Next Bank
LOS RANCHOS OF THE FALLS,8888 SW 136th St Ste 373,Miami,FL,433895.0,Paid in Full,04/20/2021,6544558803,722511,U.S. Century Bank,U.S. Century Bank
A & E WORLDWIDE LLC.,8425 SW 200th Ter,Cutler Bay,FL,433825.0,Paid in Full,03/12/2021,9260238509,492210,U.S. Century Bank,U.S. Century Bank
"PRESIDENTE SUPERMARKET NO. 35, INC.",3108 UNIVERSITY DR,MIRAMAR,FL,431815.0,Paid in Full,04/27/2020,6043737205,445110,U.S. Century Bank,U.S. Century Bank
URBANWORKS ARCHITECTURE LLC,901 N 3rd St Ste 145,Minneapolis,MN,431200.0,Paid in Full,02/07/2021,4873308408,541310,21st Century Bank,21st Century Bank
LARIVIERE PARKING SYSTEMS LLC,304 Indian Trce # 448,Weston,FL,430601.1,Paid in Full,02/01/2021,1236138409,812930,U.S. Century Bank,U.S. Century Bank
"ABLE BUSINESS SERVICES, INC.",1234 79TH ST,MIAMI,FL,429617.0,Paid in Full,05/28/2020,4393357809,561720,U.S. Century Bank,U.S. Century Bank
"EL MEZQUITE MARKET, LLC",201 San Pedro SE,ALBUQUERQUE,NM,428317.0,Paid in Full,04/11/2020,2752747104,445299,Century Bank,Century Bank
"BUILDERS CHOICE RESTORATION, LLC",6321 LAKE GENEVA RD,MIAMI LAKES,FL,427660.0,Paid in Full,04/29/2020,3565417305,238990,U.S. Century Bank,U.S. Century Bank
"NUCCIO HEATING & AIR CONDITIONING, INC.",6306 W Linebaugh Avenue,TAMPA,FL,425000.0,Paid in Full,04/06/2020,5807627007,238220,Century Bank of Florida,Century Bank of Florida
AMERICAN SOCIAL ORLANDO LLC,7335 W Sand Lake Rd Ste 101,Orlando,FL,423489.43,Paid in Full,01/28/2021,7324578300,722511,U.S. Century Bank,U.S. Century Bank
LINCOLN AGENCY LLC,504 S Service Rd,Ruston,LA,421811.6,Paid in Full,04/14/2020,6473737107,524126,Century Next Bank,Century Next Bank
NEXUS BREWERY LLC,4730 Pan American East Fwy NE Ste D,Albuquerque,NM,421596.0,Paid in Full,02/24/2021,3750698502,722410,Century Bank,Century Bank
URBANWORKS ARCHITECTURE LLC,901 NORTH   3RD ST STE 145,MINNEAPOLIS,MN,421100.0,Paid in Full,04/06/2020,5960747004,541310,21st Century Bank,21st Century Bank
MUSEUM OF NEW MEXICO FOUNDATION,1411 PASEO DE PERALTA,SANTA FE,NM,418888.85,Paid in Full,04/11/2020,3509737106,712110,Century Bank,Century Bank
KYLE R. EDLUND D.D.S. P.A.,3060 Woodbury Dr,Woodbury,MN,418100.0,Paid in Full,04/08/2021,8970498702,621210,21st Century Bank,21st Century Bank
"KYLE R. EDLUND, D.D.S., P.A.",3060 WOODBURY DR,SAINT PAUL,MN,418100.0,Paid in Full,04/08/2020,8206927001,621210,21st Century Bank,21st Century Bank
DI GREGORY BROTHERS INC.,320 Central Ave SE,Albuquerque,NM,418082.0,Paid in Full,01/29/2021,8307698304,722511,Century Bank,Century Bank
ASPEN MEDICAL GROUP LLC,3450 Zafarano Dr Unit C,Santa Fe,NM,415390.0,Paid in Full,02/06/2021,4532048404,622110,Century Bank,Century Bank
FABIETTI HALE HAMMERSTEDT & POWERS P.A.,3122 Fire Rd Ste 101,Egg Harbor Township,NJ,411400.0,Paid in Full,01/27/2021,6568178300,541211,Century Savings Bank,Century Savings Bank
ALMAR INDUSTRIES INC.,2301 NW 87th Ave,Doral,FL,410203.55,Paid in Full,02/05/2021,3922948404,561720,U.S. Century Bank,U.S. Century Bank
MADDOX INDUSTRIES INC,900 W CHICAGO RD,BRONSON,MI,409000.0,Paid in Full,04/15/2020,1536247206,333514,Century Bank and Trust,Century Bank and Trust
"E. G. RUD & SONS, INC.",6776 LAKE DR Ste 110,CIRCLE PINES,MN,408800.0,Paid in Full,04/07/2020,6678267003,541370,21st Century Bank,21st Century Bank
MICHIGAN TOOL WORKS,1200 W Lafayette St,Sturgis,MI,407700.0,Paid in Full,01/22/2021,3790498310,333249,Century Bank and Trust,Century Bank and Trust
MICHIGAN TOOL WORKS,1200 LAFAYETTE ST,STURGIS,MI,407700.0,Paid in Full,04/05/2020,5117067008,333249,Century Bank and Trust,Century Bank and Trust
MADDOX INDUSTRIES INC,900 W Chicago Rd,Bronson,MI,406200.0,Paid in Full,01/29/2021,8357768310,333514,Century Bank and Trust,Century Bank and Trust
DFAB LLC,7840 5TH AVE S,MINNEAPOLIS,MN,405400.0,Paid in Full,04/06/2020,6307737003,311812,21st Century Bank,21st Century Bank
THUNDER SCIENTIFIC CORPORATION,623 WYOMING BLVD,ALBUQUERQUE,NM,404147.5,Paid in Full,04/29/2020,4429687305,334513,Century Bank,Century Bank
"VICTORY PERSONAL CARE, INC.",2810 Hot Springs Blvd,LAS VEGAS,NM,401670.0,Paid in Full,04/29/2020,2202277307,621610,Century Bank,Century Bank
SHECHTER & EVERETT LLP,2100 PONCE DE LEON BLVD PH 2,CORAL GABLES,FL,400952.5,Paid in Full,04/11/2020,3169247104,541211,U.S. Century Bank,U.S. Century Bank
"MIDDLE GEORGIA MANAGEMENT SERVICES, INC.",102 S Wayne St,Milledgeville,GA,400575.0,Paid in Full,04/14/2020,6308367110,921130,Century Bank & Trust,Century Bank & Trust
"R. P. SCHROEDER CONSTRUCTION, INC.",18329  263RD AVE,BIG LAKE,MN,398000.0,Paid in Full,04/09/2020,1032427110,236220,21st Century Bank,21st Century Bank
CARE CLINICS LLC,2000 ALDRICH AVE S,MINNEAPOLIS,MN,397900.0,Paid in Full,04/05/2020,5239247001,621330,21st Century Bank,21st Century Bank
"ARTHUR A. SCHLEMAN PLUMBING CO., INC.",14929 N. Nebraska Avenue,TAMPA,FL,397359.0,Paid in Full,04/14/2020,6541607106,238220,Century Bank of Florida,Century Bank of Florida
BLACK ROCK SERVICES LLC,103 LLANO DEL SUR SE,ALBUQUERQUE,NM,396572.5,Paid in Full,04/15/2020,1072007205,324121,Century Bank,Century Bank
"TRISKELION GROUP OF NM, INC.",PARADISE BLVD,ALBUQUERQUE,NM,395289.0,Paid in Full,04/11/2020,3305307104,561612,Century Bank,Century Bank
EDUARDO R. SOTO PA,999 Ponce De Leon Blvd. #1040,CORAL GABLES,FL,392500.0,Paid in Full,04/14/2020,6493877100,541110,U.S. Century Bank,U.S. Century Bank
CONGREGATION OHR MENACHEM,1729 President Street,BROOKLYN,NY,392065.0,Paid in Full,04/30/2020,6248267308,813110,U.S. Century Bank,U.S. Century Bank
