llc_name,property,apn,sale_date,sale_value,mail,ppp_name,ppp_city,ppp_state,ppp_amount,ppp_date,ppp_status,forgiven,days_delta,lender,lender_state,ppp_project,naics,jobs,business_type
STEWART INDUSTRIES LLC,3311 BOUNTY CIR,178-431-14,05/04/2021,0.0,"1077 PACIFIC COAST HWY # 247, SEAL BEACH",STEWART INDUSTRIES LLC,Battle Creek,MI,564165.0,03/31/2021,Paid in Full,568245.54,34,"Bank of America, National Association",NC,"Battle Creek, MI",336211,54.0,Limited  Liability Company(LLC)
TRIUMVIRATE LLC,21951 BROOKHURST ST,151-234-09,11/19/2021,2800000.0,"9874 RARITAN AVE, FOUNTAIN VALLEY",TRIUMVIRATE LLC,Anchorage,AK,852740.0,02/17/2021,Paid in Full,859751.42,275,Bank of Jackson Hole Trust,WY,"Anchorage, AK",721199,33.0,Limited  Liability Company(LLC)
THE LE FAMILY LLC,16752 JEFFREY CIR,107-662-06,06/28/2019,0.0,"2279 EAGLE GLEN PKWY # 112-461, CORONA",THE LE FAMILY LLC,KILLEEN,TX,152800.0,04/15/2020,Paid in Full,154395.91,292,Herring Bank,TX,"KILLEEN, TX",721110,35.0,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,149-053-07,06/04/2019,1127000.0,"16340 75TH PL W, EDMONDS",HB LLC,PROVIDENCE,RI,193170.0,04/15/2020,Paid in Full,195424.53,316,Webster Bank National Association,CT,"PROVIDENCE, RI",541310,13.0,Limited  Liability Company(LLC)
STEWART INDUSTRIES LLC,3311 BOUNTY CIR,178-431-14,05/04/2021,0.0,"1077 PACIFIC COAST HWY # 247, SEAL BEACH",STEWART INDUSTRIES LLC,BATTLE CREEK,MI,564162.5,04/15/2020,Paid in Full,569665.02,384,"Bank of America, National Association",NC,"BATTLE CREEK, MI",336211,47.0,Limited  Liability Company(LLC)
TRIUMVIRATE LLC,21951 BROOKHURST ST,151-234-09,11/19/2021,2800000.0,"9874 RARITAN AVE, FOUNTAIN VALLEY","TRIUMVIRATE, LLC",ANCHORAGE,AK,619100.0,04/09/2020,Paid in Full,625841.31,589,Bank of Jackson Hole Trust,WY,"ANCHORAGE, AK",713920,12.0,Limited  Liability Company(LLC)
THE LE FAMILY LLC,16752 JEFFREY CIR,107-662-06,06/28/2019,0.0,"2279 EAGLE GLEN PKWY # 112-461, CORONA",THE LE FAMILY LLC,Killeen,TX,213900.0,02/12/2021,Paid in Full,216929.76,595,Herring Bank,TX,"Killeen, TX",721110,22.0,Limited  Liability Company(LLC)
COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 124,938-780-18,09/04/2018,419000.0,"17220 NEWHOPE ST, FOUNTAIN VALLEY",COMPASSIONATE CARE HOSPICE LLC,FOUNTAIN VALLEY,CA,279820.0,05/01/2020,Paid in Full,281636.91,605,"Bank of America, National Association",NC,"FOUNTAIN VALLEY, CA",623110,65.0,Corporation
