code name,type,Processed,Post or Title,code (REMOVE ' IN FRONT OF CODE BEFORE DOING SEARCH!!!),last ran,Link to list,,,,,,,,,,,,,,,,,,,,,,
,,,,=job&excats=1-1-16-1-20-19-7-34&min_price=75001&max_price=175000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/file/d/1H0GKfSUdXnL-i0wiqkBVgC8cVRYTnl2m/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
,all,no,post,=need+to+move&excats=1-1-16-1-20-2-17-7-34&min_price=15000&max_price=75000&availabilityMode=0&sale_date=all+dates,11/20/19,https://drive.google.com/file/d/1lL9d90d6-9FI_8VZMZBQC3vrPdIvkUXI/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=need+to+move&min_price=175001&max_price=375000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/file/d/1emSt0JrZW6GTQyXBJBqz7GaT8_mA7Qgo/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
,,,,=need+to+move&min_price=75001&max_price=175000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/file/d/1ZEQQIfXdargSK3DsRS2LrtpqMQbnebQg/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
,,,,,11/20/19,0,,,,,,,,,,,,,,,,,,,,,,
,duplex,no,post,,11/20/19,,,,,,,,,,,,,,,,,,,,,,,
,,,,=probate&excats=1-1-16-1-20-19-7-34&min_price=15000&max_price=75000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/file/d/19CgQKnjUwCs6g9BnKkFfoyFCH0m_DmfN/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
,,,,=probate&excats=1-1-16-1-20-19-7-34&min_price=75001&max_price=175000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/file/d/1-kZixiv1zl6YekIzo8XvQ5S_iU8Cc-3T/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duplex,no,post,=wholesale&min_price=15000&max_price=75000&availabilityMode=0&housing_type=4&sale_date=all+dates,11/20/19,,,,,,,,,,,,,,,,,,,,,,,
,,,,=need+to+move&excats=1-1-16-1-20-2-17-7-34&min_price=75001&max_price=175000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/open?id=1ovGkP0DDGlL3puuzXZccQa2xwRQtDlPV,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=death&excats=1-1-16-1-20-2-17-7-34&min_price=75001&max_price=175000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/open?id=1A6K0MQ9Qn75X5WEyBq5sGfX_BBRHeFPz,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=buy+my+house+today&excats=1-1-16-1-20-19-7-34&min_price=75001&max_price=175000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/open?id=1-Pm44UCUhy0v0JAjAcx-r62G9eE9NVod,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=need+to+move&excats=1-1-16-1-20-2-17-7-34&min_price=175001&max_price=375000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/file/d/1XLmtbrEVBYrJiLwIEIh-YUHgR2Y4Erw0/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEST CODE!,,,=profit&excats=1-1-16-1-20-1-18-7-34&min_price=15000&max_price=75000&availabilityMode=0&sale_date=all+dates,11/22/19,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=death&excats=1-1-16-1-20-2-17-7-34&min_price=175001&max_price=375000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/file/d/1dcMOpdsryecoH32vTvFxNl5XMl8beyTv/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=buy+my+house+today&excats=1-1-16-1-20-19-7-34&min_price=175001&max_price=375000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/file/d/18k8MW7zOWx8cQIFHQMOANO6hFUZFFjFl/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=death&excats=1-1-16-1-20-2-17-7-34&min_price=75001&max_price=175000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/open?id=18BSVBa1gwvd7FyH0QYKQK2rS_pEszhQv,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=profit&excats=1-1-16-1-20-1-18-7-34&min_price=15000&max_price=75000&availabilityMode=0&sale_date=all+dates,,https://drive.google.com/open?id=1tNdRb2UfH0WCK_yJrPX8rrhZvDTKWwYb,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,died&excats=1-1-16-1-20-1-18-7-34&min_price=15000&max_price=75000&availabilityMode,,https://drive.google.com/open?id=1DCrMgS3HNc7lVBHi9gyjDMfzUAfri7sB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,abandoned&excats=1-1-16-1-20-1-18-7-34&min_price=150000&max_price=275000&availabilityMode,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=appraised+for&excats=1-1-16-1-20-1-18-7-34&min_price=150000&max_price=275000&availabilityMode,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,profit&excats=1-1-16-1-20-1-18-7-34&min_price=150000&max_price=275000&availabilityMode,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,discounted&excats=1-1-16-1-20-1-18-7-34&min_price=150000&max_price=275000&availabilityMode,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,lamborghini+must+sell,,,,,,,,,,,,,,,,,,,,,,,,
