entity_name,disqualification_reasons,data_sources,property_address,mail_city,ppp_amounts,loan_locations
JBH LLC,llc_or_corp; ppp_out_of_state; ppp_rico_match; rico_evidence; suspicious_network_match,ppp_rico_matches; rico_evidence_matrix; suspicious_hb_network,711 W 17TH ST # 19,NORTH TUSTIN,20800.0 | 28067.0 | 20607.0,"PHOENIX, AZ"
JEK INVESTMENTS LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,1325 DELAWARE ST,COSTA MESA,26907.0,"Phoenix, AZ"
JJ HOLDINGS LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,20331 BLUFFSIDE CIR # A204,FRISCO,34837.0 | 7500.0 | 36200.0 | 9600.0 | 102390.0,
JS PROPERTIES LLC,rico_evidence,rico_evidence_matrix,,,,
KC GROUP LLC,rico_evidence,rico_evidence_matrix,,,,
L & E HOLDINGS LLC,rico_evidence,rico_evidence_matrix,,,,
LA COLONIA LLC,rico_evidence,rico_evidence_matrix,,,,
LAZER LLC,high_ppp_amount; llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,7782 RONALD DR,INDIO,600000.0,"SADDLE RIVER, NJ"
LEE BROTHERS LLC,rico_evidence,rico_evidence_matrix,,,,
LIGHTHOUSE CAFE LLC,high_ppp_amount; llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,1600 W BALBOA BLVD,DANA POINT,366554.0,"Newport Beach, CA"
LOS ALAMOS LLC,rico_evidence,rico_evidence_matrix,,,,
LOTUS PROPERTIES LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,14472 SPA DR,VILLA PARK,20265.0,
MERRIMAC PARTNERS LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,20962 CABRILLO LN # 61,YORBA LINDA,41665.0,"YORBA LINDA, CA"
