MailAddress,llc_count,avg_sale_value,first_sale,last_sale,llc_names,apns,risk_level,cluster_notes
12645 CLARK ST,5,130000.0,03/17/2004,10/15/2024,JANICE O PROPERTIES LLC,939-330-85; 178-654-40; 111-401-07; 937-165-13; 937-165-32,MONITOR,
1267 WILLIS ST # 200,5,170000.0,06/23/2011,10/19/2018,117 WALNUT LLC | 201 1ST LLC | 211 OLIVE LLC | 224 3RD LLC | 616 CREST LLC,024-165-07; 023-093-25; 024-165-08; 024-163-02; 024-162-24,MONITOR,
220 NEWPORT CENTER DR # 11777,5,7345200.0,07/30/2021,07/30/2021,VJHB COVE LLC,165-224-14; 165-225-03; 165-225-02; 165-225-04; 165-225-05,MONITOR,Newport Center financial cluster
172 SIDNEY BAY DR,5,680000.0,06/29/2023,06/29/2023,COVE CAPITAL LLC,935-840-24; 935-840-25; 935-840-26; 935-840-27; 935-840-28,MONITOR,
5055 N 32ND ST STE 200,5,48625000.0,02/21/2007,07/11/2019,ONNI HUNTINGTON BEACH LLC,165-364-12; 165-364-16; 165-364-26; 165-364-27; 165-364-13,MONITOR,
11232 KENSINGTON RD,5,0.0,03/31/2017,12/20/2010,MOUNT CARMEL INVEST LLC | MOUNT CARMEL INVESTMENTS LLC,110-401-05; 142-412-13; 025-043-20; 159-121-09; 025-191-16,MONITOR,
15300 BEACH BLVD,5,250000.0,04/13/2005,11/04/2005,15300 BEACH BLVD LLC,107-151-21; 107-151-67; 107-180-32; 107-180-31; 107-151-20,MONITOR,
9535 GARDEN GROVE BLVD,5,3360600.0,12/30/2024,12/30/2024,WILLOW 68 INVESTMENTS LLC,195-264-01; 195-264-02; 195-264-03; 195-264-04; 195-256-12,MONITOR,
411 S MOUNTAIN GLEN RD,4,0.0,02/27/2023,07/14/2023,TAHOE STREET LLC | WILLOW LANE WESTMINSTER LLC,195-061-22; 145-427-05; 145-116-04; 142-374-34,MONITOR,
6855 WESTERN AVE STE N,4,0.0,12/01/2016,12/01/2016,STARK AND ALDRICH LLC,142-082-10; 142-082-09; 142-082-36; 142-082-37,MONITOR,
13238 MICHAEL RAINFORD CIR,4,770750.0,05/24/2022,07/03/2017,AAA AMBROSE INVESTMENT LLC | AAA FLICKER INVESTMENT LLC | AAA FRONTIER INVESTMENT LLC,023-212-22; 195-223-40; 111-401-36; 157-293-17,MONITOR,
9900 CULVER BLVD STE 1A,4,0.0,,,MILLER FAMILY BEACH HOLDINGS LLC,107-161-04; 107-161-02; 107-161-03; 107-161-08,MONITOR,
3501 JAMBOREE RD STE 3000,4,72955.0,08/20/2018,08/20/2018,HUNTINGTON GATEWAY INDUSTRIAL LLC,195-111-01; 195-111-71; 195-111-72; 195-111-73,MONITOR,
2900 BRISTOL ST STE C107,4,740000.0,08/06/2004,08/06/2004,CAL NEWPORT MESA LLC,939-570-27; 939-570-28; 939-570-29; 939-570-30,MONITOR,
511 S MARENGO AVE,4,0.0,03/15/2011,09/28/2011,DAIBO REALTY LLC,937-153-64; 167-471-23; 159-121-39; 159-121-40,MONITOR,
620 NEWPORT CENTER DR # 11,4,0.0,02/13/2008,02/19/2008,212 ITH STREET LLC | 214 9TH STREET LLC | SYNERGY HUNTINGTON LLC,024-117-31; 024-117-32; 024-123-17; 024-124-34,MONITOR,Newport Center financial cluster
14221 EUCLID ST STE D,4,750000.0,03/02/2022,06/03/2021,BROADWAY SUNSET LLC | JUSU CORNER PLAZA LLC | TITOA INVESTMENTS LLC,167-201-01; 167-481-06; 167-481-07; 178-532-03,MONITOR,
5815 E REDFIELD RD,4,0.0,03/14/2008,07/14/2008,ALABAMA RE HOLDINGS LLC | DOLORES RE HOLDINGS LLC | MILO RE HOLDINGS LLC | PEARCE RE HOLDINGS LLC,178-181-08; 178-243-15; 178-253-22; 025-043-08,MONITOR,
4582 KATELLA AVE,4,1250000.0,05/27/2021,05/27/2021,VALINOR MEDICAL PROPERTIES LLC,939-570-23; 939-570-24; 939-570-25; 939-570-26,MONITOR,
9708 SHAMROCK AVE,4,1910000.0,08/03/2022,09/28/2022,BETTER FUTURE INVESTMENT LLC,023-082-14; 024-134-06; 024-134-07; 024-134-08,MONITOR,
1605 CATALINA AVE,4,0.0,08/16/2021,12/19/2019,OLD TOWN APARTMENTS LLC,025-106-04; 025-106-05; 025-103-16; 025-168-09,MONITOR,
8051 MAIN ST,4,498375.0,04/22/2004,09/22/2010,CORONA HOLDING LLC | TWO UNITED OIL LLC,024-151-27; 931-346-78; 931-346-79; 931-346-80,MONITOR,
16815 S PACIFIC AVE,4,300000.0,08/23/2024,11/27/2024,GOLDEN PACIFIC DEVELOPMENT LLC | RB 105 LLC | SILVER BEACH DEVELOPMENT LLC | SUNRISE DEVELOPMENTS LLC,931-401-98; 023-124-29; 023-124-28; 024-115-18,MONITOR,
1187 GLENEAGLES TER,4,902000.0,08/01/2025,08/01/2025,20331IRVINE345 LLC | 9705PORTROYAL LLC,149-082-27; 936-801-29; 936-801-30; 936-801-31,MONITOR,
6532 RUBIO AVE,4,0.0,02/15/2012,10/31/2000,2 NAUTICAL MILE LLC | 7811 ALHAMBRA DRIVE LLC | 7921 STARK DRIVE LLC | 7925 STARK DRIVE LLC,937-361-41; 142-082-30; 142-082-31; 142-102-34,MONITOR,
2900 BRISTOL ST BLDG A205,4,986125.0,04/27/2020,06/24/2005,ACUITY OCHS REALTY LLC,939-570-62; 939-570-63; 939-570-64; 939-570-65,MONITOR,
PO BOX 314,4,0.0,01/04/2007,10/28/1993,LITTON SEASIDE HOLDINGS LLC | LITTON SEASIDE PROPERTIES LLC,145-172-12; 145-292-08; 142-102-38; 153-324-02,MONITOR,USPS PO Box network
11693 SAN VICENTE BLVD # 237,4,2079500.0,02/26/2013,09/20/2022,2517 FLORIDA ST LLC | 4841 4851 KING CIRCLE LLC | KING CIRCLE LLC,163-291-51; 163-291-50; 025-111-56; 163-291-53,MONITOR,
15565 BROOKHURST ST STE B,4,14742000.0,02/19/2016,03/17/2016,HAMILTON HB LLC | TS MARKETPLACE LLC,155-181-04; 155-181-03; 155-181-05; 149-201-46,MONITOR,
8885 VENICE BLVD STE 200,4,3450000.0,05/30/2013,12/28/2011,BEACH TALBERT CENTER LLC | SANCALS GROUP LLC,163-080-13; 163-080-12; 157-481-01; 157-481-02,MONITOR,
1050 W KATELLA AVE STE J,4,0.0,01/07/2019,12/29/2004,5502 ENGINEER DR LLC | 5642-5662 BUCKINGHAM DR LLC | ANTOYAN COMPANIES LLC,145-542-09; 145-542-10; 145-542-08; 145-543-01,MONITOR,
4514 COLE AVE STE 1500,4,,,,SBLP HUNTINGTON BEACH OFFICE LLC,023-631-01; 023-631-04; 023-631-02; 023-631-03,MONITOR,
219 E BAY FRONT,4,0.0,,,THE MACNAB LLC,159-321-06; 159-321-13; 159-321-10; 159-321-11,MONITOR,
3610 LONG BEACH BLVD STE 202,4,0.0,01/09/2008,01/09/2008,BHALLA ENTERPRISES LLC,930-685-15; 930-685-16; 930-685-17; 930-685-18,MONITOR,
PO BOX 4035,4,0.0,01/20/2016,02/28/1996,S & N COMPANY LLC,145-271-05; 145-095-07; 145-014-66; 024-123-07,MONITOR,USPS PO Box network
1800 QUAIL ST STE 100,4,2303500.0,04/22/2021,04/22/2021,AHTX PROPERTIES LLC | GWS123 LLC,939-631-93; 936-791-01; 936-791-04; 936-791-06,MONITOR,
1800 QUAIL ST STE 110,4,1343750.0,08/16/2019,10/03/2014,CARDIFF DEVELOPMENT LLC | CMM HOLDINGS I LLC,930-618-81; 936-791-03; 936-791-02; 936-791-05,MONITOR,
1683 SUNFLOWER AVE STE B,4,42000000.0,09/18/2023,09/18/2023,ARES INVESTMENT GROUP LLC,142-342-17; 142-342-20; 142-342-15; 142-342-16,MONITOR,
1745 SHEA CENTER DR STE 200,4,3025000.0,08/31/2011,10/21/2011,BELLA TERRA VILLAS LLC | DCO BEACH WALK LLC | DCO PACIFIC CITY LLC,024-271-06; 025-200-72; 142-075-01; 142-075-02,MONITOR,
3809 SEASHORE DR,4,0.0,05/05/2011,05/05/2011,CASAS BMV LLC | CASITAS BMV LLC,933-940-49; 930-614-52; 930-614-53; 933-940-50,MONITOR,
13004 STOCKDALE HWY,4,427500.0,03/21/2024,12/30/2020,JORDYN COURT LLC | KCC1 PROPERTIES LLC | KCCI PROPERTIES LLC | PARK MEADOW LN PROPERTY LLC,935-761-16; 936-800-20; 159-474-39; 935-760-67,MONITOR,
189 QUINCY AVE,4,0.0,04/13/2010,09/02/1993,ORANGE SAIL LLC,148-031-08; 148-031-01; 148-031-02; 148-031-03,MONITOR,
17284 NEWHOPE ST # 222,4,287500.0,04/09/2026,06/17/2022,663 HIBISCUS LLC | RODECKER COMPANIES LLC | SPARTACUS FUND LLC,938-782-62; 938-650-81; 938-782-32; 938-782-40,MONITOR,
9191 LOMA ST,3,393333.0,01/18/2022,11/16/2021,TOUCHSTONE REAL ESTATE LLC,930-354-27; 930-354-28; 930-354-29,MONITOR,
