BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
THE RICHARD NIXON FOUNDATION,18001 Yorba Linda Blvd,Yorba Linda,CA,600000.0,Paid in Full,01/20/2021,1844308307,813211,Banc of California,Banc of California
RICHARD NIXON FOUNDATION,18001 Yorba Linda Blvd,Yorba Linda,CA,600000.0,Paid in Full,04/08/2020,7994887008,712110,Banc of California,Banc of California
RANCHO SANTA ANA BOTANIC GARDEN,1500 N COLLEGE AVE,CLAREMONT,CA,562000.0,Paid in Full,04/27/2020,4778227207,712130,Banc of California,Banc of California
HEART OF LOS ANGELES YOUTH INC,2701 Wilshire Blvd Ste 100,Los Angeles,CA,561105.0,Paid in Full,01/27/2021,6931078300,611710,Banc of California,Banc of California
COALITION TO ABOLISH SLAVERY & TRAFFICKING,3751 6TH ST,LOS ANGELES,CA,551610.0,Paid in Full,04/15/2020,9452317104,624190,Banc of California,Banc of California
"BIG BROTHERS BIG SISTERS OF GREATER LOS ANGELES, INC.",11755 WILSHIRE BLVD Suite 1670,LOS ANGELES,CA,548097.5,Paid in Full,04/27/2020,6281107210,624110,Banc of California,Banc of California
BIG BROTHERS BIG SISTERS OF GREATER,11755 Wilshire Blvd Ste 1670,Los Angeles,CA,548097.5,Paid in Full,01/22/2021,3792398308,624110,Banc of California,Banc of California
THE BOYS & GIRLS CLUBS OF GREATER REDLANDS-RIVERSIDE,1251 CLAY ST,REDLANDS,CA,545000.0,Paid in Full,04/27/2020,3554357207,624110,Banc of California,Banc of California
"HEART OF LOS ANGELES YOUTH, INC.",2701 WILSHIRE BLVD Suite 100,LOS ANGELES,CA,543417.9,Paid in Full,04/09/2020,9810377003,611710,Banc of California,Banc of California
SANTA CLARITA VALLEY COMMITTEE ON AGING CORPORATION,27180 GOLDEN VALLEY RD,SANTA CLARITA,CA,541750.0,Paid in Full,04/27/2020,5890947205,624120,Banc of California,Banc of California
TEMPLE ETZ CHAIM,1080 EAST JANSS ROAD,THOUSAND OAKS,CA,540435.0,Paid in Full,04/15/2020,1689107200,813110,Banc of California,Banc of California
TEMPLE ETZ CHAIM,1080 E Janss Rd,Thousand Oaks,CA,540435.0,Paid in Full,01/31/2021,9993638301,813110,Banc of California,Banc of California
PARTNERSHIP ON AI TO BENEFIT PEOPLE AND SOCIETY,215 2nd St Ste 1200,San Francisco,CA,537495.0,Paid in Full,03/30/2021,3009618704,541720,Banc of California,Banc of California
PARTNERSHIP ON AI TO BENEFIT PEOPLE AND SOCIETY,215 2ND ST,SAN FRANCISCO,CA,537495.0,Paid in Full,04/27/2020,5255197206,541720,Banc of California,Banc of California
"TEMPLE ALIYAH, INC",6025 VALLEY CIRCLE BLVD,WOODLAND HILLS,CA,521258.95,Paid in Full,04/10/2020,1671427106,813110,Banc of California,Banc of California
TEMPLE ALIYAH INC,6025 Valley Circle Blvd,Woodland Hills,CA,521258.94,Paid in Full,01/22/2021,3664368305,813110,Banc of California,Banc of California
BOYS & GIRLS CLUB OF GREATER OXNARD & PORT HUENEME,1900 W 5th St,Oxnard,CA,511472.0,Paid in Full,02/10/2021,6680298410,624110,Banc of California,Banc of California
BOYS & GIRLS CLUB OF GREATER OXNARD & PORT HUENEME,1900 W FIFTH STREET,OXNARD,CA,511472.0,Paid in Full,04/28/2020,9909837206,624110,Banc of California,Banc of California
TVCS,35755 ABELIA ST,WINCHESTER,CA,508625.0,Paid in Full,06/24/2020,3041838003,611110,Banc of California,Banc of California
CHRISTIAN COUNSELING SERVICE OF EAST VALLEY INC,101 E Redlands Blvd Ste 215,Redlands,CA,492000.0,Paid in Full,01/22/2021,4118158309,813211,Banc of California,Banc of California
"CHRISTIAN COUNSELING SERVICE OF EAST VALLEY, INC.",101 E REDLANDS BLVD,REDLANDS,CA,492000.0,Paid in Full,04/09/2020,9401027002,813211,Banc of California,Banc of California
"BOYS AND GIRLS CLUBS OF COACHELLA VALLEY, INC.",42600 COOK ST,PALM DESERT,CA,486510.0,Paid in Full,04/27/2020,4901677209,624110,Banc of California,Banc of California
GLENDORA COUNTRY CLUB,2400 COUNTRY CLUB DR,GLENDORA,CA,471685.0,Paid in Full,04/15/2020,2065927206,713910,Banc of California,Banc of California
"LOS ANGELES CENTER FOR LAW AND JUSTICE, INC.","5301 WHITTIER BLVD., 4TH FLOOR",LOS ANGELES,CA,467220.0,Paid in Full,04/28/2020,8390497209,541110,Banc of California,Banc of California
