BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
JACOBS CENTER FOR NEIGHBORHOOD INNOVATION,404 EUCLID AVENUE,SAN DIEGO,CA,280015.0,Paid in Full,04/27/2020,4715337208,813319,Banc of California,Banc of California
AGAPE INTERNATIONAL SPIRITUAL CENTER OF TRUTH,8444 Wilshire Blvd - 2nd Floor,BEVERLY HILLS,CA,270000.0,Paid in Full,04/28/2020,7681737204,813110,Banc of California,Banc of California
MISSION HILLS CHURCH INC.,400 E Mission Hills Ct,San Marcos,CA,270000.0,Paid in Full,03/12/2021,9132468503,813110,Banc of California,Banc of California
MISSION HILLS CHURCH,400 MISSION HILLS CT,SAN MARCOS,CA,270000.0,Paid in Full,04/28/2020,7687717210,813110,Banc of California,Banc of California
BOYS & GIRLS CLUBS OF LA HABRA,1211 Fahringer Way,La Habra,CA,260570.0,Paid in Full,01/20/2021,2098228309,624110,Banc of California,Banc of California
HOLY CROSS ARMENIAN APOSTOLIC CATHEDRAL,8420 Beverly Rd,Pico Rivera,CA,251000.0,Paid in Full,03/17/2021,3562908605,611110,Banc of California,Banc of California
HOLY CROSS ARMENIAN APOSTOLIC CATHEDRAL,8420 BEVERLY RD,PICO RIVERA,CA,251000.0,Paid in Full,04/28/2020,6359757207,611110,Banc of California,Banc of California
BOYS' CLUB OF FALLBROOK,445 E. Ivy Street,FALLBROOK,CA,233000.0,Paid in Full,05/02/2020,9720597300,611710,Banc of California,Banc of California
OUR LADY OF ASSUMPTION CATHOLIC CHURCH,435 Berkeley Ave,CLAREMONT,CA,231000.0,Paid in Full,04/27/2020,6196957202,813110,Banc of California,Banc of California
OUR LADY OF THE ASSUMPTION CATHOLIC CHURCH,435 Berkeley Ave,Claremont,CA,231000.0,Paid in Full,02/06/2021,4220378410,813110,Banc of California,Banc of California
RECTOR WARDENS & VESTRYMEN OF ST MARKS PARISH,1020 N BRAND BLVD,GLENDALE,CA,225000.0,Paid in Full,04/28/2020,8395777209,813110,Banc of California,Banc of California
THE RECTOR WARDENS AND VESTRYMEN OF ST. MARK'S PARISH IN GLE,1020 N Brand Blvd,Glendale,CA,225000.0,Paid in Full,01/27/2021,6698458310,813110,Banc of California,Banc of California
ACRO PRECISION INC.,16930 S Main St,Gardena,CA,221250.0,Paid in Full,01/23/2021,4665598300,484220,Banc of California,Banc of California
ACRO PRECISION INC,16930 S MAIN STREET,GARDENA,CA,221250.0,Paid in Full,04/16/2020,2442627206,492210,Banc of California,Banc of California
HOLY NAME OF MARY CATHOLIC CHURCH,724 E Bonita Ave,San Dimas,CA,218000.0,Paid in Full,02/14/2021,8967048401,813110,Banc of California,Banc of California
HOLY NAME OF MARY CATHOLIC CHURCH,724 E Bonita Ave,SAN DIMAS,CA,218000.0,Paid in Full,04/28/2020,6507687202,813110,Banc of California,Banc of California
UNITED PARENTS AND STUDENTS,1149 S HILL ST STE 600,LOS ANGELES,CA,217055.9,Paid in Full,06/19/2020,9308127907,813219,Banc of California,Banc of California
ST. LOUIS CHRISTIAN COLLEGE,1360 Grandview Dr,Florissant,MO,211900.0,Paid in Full,04/27/2020,5238837206,813110,Banc of California,Banc of California
BREATHE CALIFORNIA OF LOS ANGELES COUNTY,5858 WILSHIRE BLVD Suite 300,LOS ANGELES,CA,209690.0,Paid in Full,04/27/2020,6331727207,813212,Banc of California,Banc of California
CONDOMINIUM ADMINISTRATION COMPANY INC.,13637 HAWTHORNE BLVD. #200,HAWTHORNE,CA,208125.0,Paid in Full,04/27/2020,4760467200,531311,Banc of California,Banc of California
ENGAGE INC.,240 E Verdugo Ave Apt 100,Burbank,CA,206780.0,Paid in Full,02/20/2021,2343448506,624120,Banc of California,Banc of California
"ENGAGE, INC.",240 E VERDUGO AVE SUITE 100,BURBANK,CA,198380.0,Paid in Full,06/30/2020,6574358008,624120,Banc of California,Banc of California
